,Timestamp Feed,b,"time_interval, min"
0,2020-11-05 09:10:49,2020-11-05 09:04:03,6.766666666666667
1,2020-11-05 09:17:06,2020-11-05 09:10:49,6.283333333333333
2,2020-11-05 09:26:42,2020-11-05 09:17:06,9.6
3,2020-11-05 09:31:51,2020-11-05 09:26:42,5.15
4,2020-11-05 09:37:12,2020-11-05 09:31:51,5.35
5,2020-11-05 09:42:31,2020-11-05 09:37:12,5.316666666666666
6,2020-11-05 09:47:51,2020-11-05 09:42:31,5.333333333333333
7,2020-11-05 09:53:09,2020-11-05 09:47:51,5.3
8,2020-11-05 09:58:31,2020-11-05 09:53:09,5.366666666666666
9,2020-11-05 10:03:48,2020-11-05 09:58:31,5.283333333333333
10,2020-11-05 10:09:07,2020-11-05 10:03:48,5.316666666666666
11,2020-11-05 10:14:27,2020-11-05 10:09:07,5.333333333333333
12,2020-11-05 10:19:45,2020-11-05 10:14:27,5.3
13,2020-11-05 10:25:13,2020-11-05 10:19:45,5.466666666666667
14,2020-11-05 10:34:46,2020-11-05 10:25:13,9.55
15,2020-11-05 10:39:55,2020-11-05 10:34:46,5.15
16,2020-11-05 10:45:12,2020-11-05 10:39:55,5.283333333333333
17,2020-11-05 10:50:33,2020-11-05 10:45:12,5.35
18,2020-11-05 10:55:52,2020-11-05 10:50:33,5.316666666666666
19,2020-11-05 11:01:12,2020-11-05 10:55:52,5.333333333333333
20,2020-11-05 11:07:25,2020-11-05 11:01:12,6.216666666666667
21,2020-11-05 11:13:56,2020-11-05 11:07:25,6.516666666666667
22,2020-11-05 11:19:45,2020-11-05 11:13:56,5.816666666666666
23,2020-11-05 11:24:51,2020-11-05 11:19:45,5.1
24,2020-11-05 11:30:06,2020-11-05 11:24:51,5.25
25,2020-11-05 11:35:17,2020-11-05 11:30:06,5.183333333333334
26,2020-11-05 11:40:39,2020-11-05 11:35:17,5.366666666666666
27,2020-11-05 11:45:56,2020-11-05 11:40:39,5.283333333333333
28,2020-11-05 11:51:17,2020-11-05 11:45:56,5.35
29,2020-11-05 11:56:29,2020-11-05 11:51:17,5.2
30,2020-11-05 12:01:45,2020-11-05 11:56:29,5.266666666666667
31,2020-11-05 12:07:51,2020-11-05 12:01:45,6.1
32,2020-11-05 12:14:21,2020-11-05 12:07:51,6.5
33,2020-11-05 12:20:13,2020-11-05 12:14:21,5.866666666666666
34,2020-11-05 12:25:16,2020-11-05 12:20:13,5.05
35,2020-11-05 12:30:34,2020-11-05 12:25:16,5.3
36,2020-11-05 12:35:50,2020-11-05 12:30:34,5.266666666666667
37,2020-11-05 12:41:07,2020-11-05 12:35:50,5.283333333333333
38,2020-11-05 12:46:24,2020-11-05 12:41:07,5.283333333333333
39,2020-11-05 12:51:34,2020-11-05 12:46:24,5.166666666666667
40,2020-11-05 12:56:57,2020-11-05 12:51:34,5.383333333333334
41,2020-11-05 13:02:12,2020-11-05 12:56:57,5.25
42,2020-11-05 13:07:36,2020-11-05 13:02:12,5.4
43,2020-11-05 13:14:11,2020-11-05 13:07:36,6.583333333333333
44,2020-11-05 13:19:56,2020-11-05 13:14:11,5.75
45,2020-11-05 13:25:06,2020-11-05 13:19:56,5.166666666666667
46,2020-11-05 13:30:24,2020-11-05 13:25:06,5.3
47,2020-11-05 13:35:39,2020-11-05 13:30:24,5.25
48,2020-11-05 13:40:57,2020-11-05 13:35:39,5.3
49,2020-11-05 13:46:17,2020-11-05 13:40:57,5.333333333333333
50,2020-11-05 13:51:32,2020-11-05 13:46:17,5.25
51,2020-11-05 13:56:43,2020-11-05 13:51:32,5.183333333333334
52,2020-11-05 14:02:06,2020-11-05 13:56:43,5.383333333333334
53,2020-11-05 14:07:38,2020-11-05 14:02:06,5.533333333333333
54,2020-11-05 14:14:00,2020-11-05 14:07:38,6.366666666666666
55,2020-11-05 14:19:49,2020-11-05 14:14:00,5.816666666666666
56,2020-11-05 14:25:04,2020-11-05 14:19:49,5.25
57,2020-11-05 14:30:18,2020-11-05 14:25:04,5.233333333333333
58,2020-11-05 14:35:30,2020-11-05 14:30:18,5.2
59,2020-11-05 14:40:45,2020-11-05 14:35:30,5.25
60,2020-11-05 14:46:03,2020-11-05 14:40:45,5.3
61,2020-11-05 14:51:16,2020-11-05 14:46:03,5.216666666666667
62,2020-11-05 14:56:32,2020-11-05 14:51:16,5.266666666666667
63,2020-11-05 15:01:55,2020-11-05 14:56:32,5.383333333333334
64,2020-11-05 15:07:31,2020-11-05 15:01:55,5.6
65,2020-11-05 15:14:05,2020-11-05 15:07:31,6.566666666666666
66,2020-11-05 15:19:50,2020-11-05 15:14:05,5.75
67,2020-11-05 15:24:54,2020-11-05 15:19:50,5.066666666666666
68,2020-11-05 15:30:06,2020-11-05 15:24:54,5.2
69,2020-11-05 15:35:22,2020-11-05 15:30:06,5.266666666666667
70,2020-11-05 15:40:39,2020-11-05 15:35:22,5.283333333333333
71,2020-11-05 15:45:52,2020-11-05 15:40:39,5.216666666666667
72,2020-11-05 15:51:06,2020-11-05 15:45:52,5.233333333333333
73,2020-11-05 15:56:21,2020-11-05 15:51:06,5.25
74,2020-11-05 16:01:37,2020-11-05 15:56:21,5.266666666666667
75,2020-11-05 16:07:45,2020-11-05 16:01:37,6.133333333333334
76,2020-11-05 16:14:16,2020-11-05 16:07:45,6.516666666666667
77,2020-11-05 16:20:04,2020-11-05 16:14:16,5.8
78,2020-11-05 16:25:18,2020-11-05 16:20:04,5.233333333333333
79,2020-11-05 16:30:30,2020-11-05 16:25:18,5.2
80,2020-11-05 16:35:47,2020-11-05 16:30:30,5.283333333333333
81,2020-11-05 16:40:57,2020-11-05 16:35:47,5.166666666666667
82,2020-11-05 16:46:20,2020-11-05 16:40:57,5.383333333333334
83,2020-11-05 16:51:32,2020-11-05 16:46:20,5.2
84,2020-11-05 16:56:46,2020-11-05 16:51:32,5.233333333333333
85,2020-11-05 17:02:01,2020-11-05 16:56:46,5.25
86,2020-11-05 17:07:25,2020-11-05 17:02:01,5.4
87,2020-11-05 17:13:59,2020-11-05 17:07:25,6.566666666666666
88,2020-11-05 17:19:45,2020-11-05 17:13:59,5.766666666666667
89,2020-11-05 17:24:49,2020-11-05 17:19:45,5.066666666666666
90,2020-11-05 17:30:10,2020-11-05 17:24:49,5.35
91,2020-11-05 17:35:35,2020-11-05 17:30:10,5.416666666666667
92,2020-11-05 17:40:50,2020-11-05 17:35:35,5.25
93,2020-11-05 17:46:14,2020-11-05 17:40:50,5.4
94,2020-11-05 17:51:27,2020-11-05 17:46:14,5.216666666666667
95,2020-11-05 17:56:52,2020-11-05 17:51:27,5.416666666666667
96,2020-11-05 18:02:08,2020-11-05 17:56:52,5.266666666666667
97,2020-11-05 18:07:32,2020-11-05 18:02:08,5.4
98,2020-11-05 18:14:06,2020-11-05 18:07:32,6.566666666666666
99,2020-11-05 18:19:54,2020-11-05 18:14:06,5.8
100,2020-11-05 18:24:59,2020-11-05 18:19:54,5.083333333333333
101,2020-11-05 18:30:14,2020-11-05 18:24:59,5.25
102,2020-11-05 18:35:27,2020-11-05 18:30:14,5.216666666666667
103,2020-11-05 18:40:51,2020-11-05 18:35:27,5.4
104,2020-11-05 18:46:14,2020-11-05 18:40:51,5.383333333333334
105,2020-11-05 18:51:29,2020-11-05 18:46:14,5.25
106,2020-11-05 18:56:41,2020-11-05 18:51:29,5.2
107,2020-11-05 19:01:53,2020-11-05 18:56:41,5.2
108,2020-11-05 19:07:27,2020-11-05 19:01:53,5.566666666666666
109,2020-11-05 19:13:58,2020-11-05 19:07:27,6.516666666666667
110,2020-11-05 19:19:56,2020-11-05 19:13:58,5.966666666666667
111,2020-11-05 19:25:06,2020-11-05 19:19:56,5.166666666666667
112,2020-11-05 19:30:21,2020-11-05 19:25:06,5.25
113,2020-11-05 19:35:36,2020-11-05 19:30:21,5.25
114,2020-11-05 19:40:51,2020-11-05 19:35:36,5.25
115,2020-11-05 19:46:04,2020-11-05 19:40:51,5.216666666666667
116,2020-11-05 19:51:18,2020-11-05 19:46:04,5.233333333333333
117,2020-11-05 19:56:37,2020-11-05 19:51:18,5.316666666666666
118,2020-11-05 20:01:48,2020-11-05 19:56:37,5.183333333333334
119,2020-11-05 20:07:27,2020-11-05 20:01:48,5.65
120,2020-11-05 20:13:58,2020-11-05 20:07:27,6.516666666666667
121,2020-11-05 20:19:49,2020-11-05 20:13:58,5.85
122,2020-11-05 20:24:59,2020-11-05 20:19:49,5.166666666666667
123,2020-11-05 20:30:15,2020-11-05 20:24:59,5.266666666666667
124,2020-11-05 20:35:26,2020-11-05 20:30:15,5.183333333333334
125,2020-11-05 20:40:45,2020-11-05 20:35:26,5.316666666666666
126,2020-11-05 20:45:59,2020-11-05 20:40:45,5.233333333333333
127,2020-11-05 20:51:11,2020-11-05 20:45:59,5.2
128,2020-11-05 20:56:26,2020-11-05 20:51:11,5.25
129,2020-11-05 21:01:38,2020-11-05 20:56:26,5.2
130,2020-11-05 21:07:22,2020-11-05 21:01:38,5.733333333333333
131,2020-11-05 21:13:56,2020-11-05 21:07:22,6.566666666666666
132,2020-11-05 21:19:41,2020-11-05 21:13:56,5.75
133,2020-11-05 21:24:52,2020-11-05 21:19:41,5.183333333333334
134,2020-11-05 21:30:10,2020-11-05 21:24:52,5.3
135,2020-11-05 21:35:32,2020-11-05 21:30:10,5.366666666666666
136,2020-11-05 21:40:43,2020-11-05 21:35:32,5.183333333333334
137,2020-11-05 21:45:55,2020-11-05 21:40:43,5.2
138,2020-11-05 21:51:11,2020-11-05 21:45:55,5.266666666666667
139,2020-11-05 21:56:28,2020-11-05 21:51:11,5.283333333333333
140,2020-11-05 22:01:50,2020-11-05 21:56:28,5.366666666666666
141,2020-11-05 22:07:32,2020-11-05 22:01:50,5.7
142,2020-11-05 22:13:53,2020-11-05 22:07:32,6.35
143,2020-11-05 22:19:45,2020-11-05 22:13:53,5.866666666666666
144,2020-11-05 22:25:21,2020-11-05 22:19:45,5.6
145,2020-11-05 22:30:44,2020-11-05 22:25:21,5.383333333333334
146,2020-11-05 22:35:59,2020-11-05 22:30:44,5.25
147,2020-11-05 22:41:10,2020-11-05 22:35:59,5.183333333333334
148,2020-11-05 22:46:25,2020-11-05 22:41:10,5.25
149,2020-11-05 22:51:45,2020-11-05 22:46:25,5.333333333333333
150,2020-11-05 22:57:00,2020-11-05 22:51:45,5.25
151,2020-11-05 23:02:11,2020-11-05 22:57:00,5.183333333333334
152,2020-11-05 23:07:28,2020-11-05 23:02:11,5.283333333333333
153,2020-11-05 23:14:02,2020-11-05 23:07:28,6.566666666666666
154,2020-11-05 23:19:48,2020-11-05 23:14:02,5.766666666666667
155,2020-11-05 23:25:01,2020-11-05 23:19:48,5.216666666666667
156,2020-11-05 23:30:19,2020-11-05 23:25:01,5.3
157,2020-11-05 23:35:35,2020-11-05 23:30:19,5.266666666666667
158,2020-11-05 23:40:53,2020-11-05 23:35:35,5.3
159,2020-11-05 23:46:05,2020-11-05 23:40:53,5.2
160,2020-11-05 23:51:26,2020-11-05 23:46:05,5.35
161,2020-11-05 23:56:45,2020-11-05 23:51:26,5.316666666666666
162,2020-11-06 00:01:57,2020-11-05 23:56:45,5.2
163,2020-11-06 00:07:32,2020-11-06 00:01:57,5.583333333333333
164,2020-11-06 00:14:04,2020-11-06 00:07:32,6.533333333333333
165,2020-11-06 00:19:49,2020-11-06 00:14:04,5.75
166,2020-11-06 00:24:57,2020-11-06 00:19:49,5.133333333333334
167,2020-11-06 00:30:09,2020-11-06 00:24:57,5.2
168,2020-11-06 00:35:30,2020-11-06 00:30:09,5.35
169,2020-11-06 00:40:49,2020-11-06 00:35:30,5.316666666666666
170,2020-11-06 00:46:01,2020-11-06 00:40:49,5.2
171,2020-11-06 00:51:17,2020-11-06 00:46:01,5.266666666666667
172,2020-11-06 00:56:35,2020-11-06 00:51:17,5.3
173,2020-11-06 01:01:56,2020-11-06 00:56:35,5.35
174,2020-11-06 01:07:21,2020-11-06 01:01:56,5.416666666666667
175,2020-11-06 01:13:52,2020-11-06 01:07:21,6.516666666666667
176,2020-11-06 01:19:43,2020-11-06 01:13:52,5.85
177,2020-11-06 01:24:53,2020-11-06 01:19:43,5.166666666666667
178,2020-11-06 01:30:11,2020-11-06 01:24:53,5.3
179,2020-11-06 01:35:34,2020-11-06 01:30:11,5.383333333333334
180,2020-11-06 01:40:45,2020-11-06 01:35:34,5.183333333333334
181,2020-11-06 01:46:00,2020-11-06 01:40:45,5.25
182,2020-11-06 01:51:18,2020-11-06 01:46:00,5.3
183,2020-11-06 01:56:37,2020-11-06 01:51:18,5.316666666666666
184,2020-11-06 02:01:51,2020-11-06 01:56:37,5.233333333333333
185,2020-11-06 02:07:27,2020-11-06 02:01:51,5.6
186,2020-11-06 02:14:01,2020-11-06 02:07:27,6.566666666666666
187,2020-11-06 02:19:52,2020-11-06 02:14:01,5.85
188,2020-11-06 02:25:00,2020-11-06 02:19:52,5.133333333333334
189,2020-11-06 02:30:20,2020-11-06 02:25:00,5.333333333333333
190,2020-11-06 02:35:33,2020-11-06 02:30:20,5.216666666666667
191,2020-11-06 02:40:48,2020-11-06 02:35:33,5.25
192,2020-11-06 02:45:59,2020-11-06 02:40:48,5.183333333333334
193,2020-11-06 02:51:14,2020-11-06 02:45:59,5.25
194,2020-11-06 02:56:32,2020-11-06 02:51:14,5.3
195,2020-11-06 03:01:47,2020-11-06 02:56:32,5.25
